country,population,wheat_flour_price,rice_price,sugar_price,beef_price,tomatoes_price,lentils_price,white_beans_price,potatoes_price,garlic_price,year,hdi,meat_(beef)_price
Afghanistan,,,,49.90723125,,,,,,,2020,,
Afghanistan,,19.806250000000002,,,,,,,,,2010,,
Afghanistan,,23.70958333333333,,,,,,,,,2011,,
Afghanistan,,23.757916666666663,,,,,,,,,2012,,
Afghanistan,,27.380625,,,,,,,,,2013,,
Afghanistan,,28.276666666666667,,,,,,,,,2014,,
Afghanistan,,27.23875,,,,,,,,,2015,,
Afghanistan,,27.249583333333334,,,,,,,,,2016,,
Afghanistan,,26.612083333333334,,,,,,,,,2017,,
Afghanistan,,26.022499999999997,,,,,,,,,2018,,
Afghanistan,,28.725416666666664,,,,,,,,,2019,,
Algeria,,,90.69444444444444,95.05555555555556,,97.84722222222223,191.40277777777777,,78.5,,2015,,1200.0
Algeria,,,106.25,97.4090909090909,,84.18181818181819,215.0,,68.63636363636364,,2016,,
Central African Republic,,597.7916666666666,599.6672698360655,,,,,,,,2020,,2951.893357957958
Central African Republic,,596.4662696969698,496.0735939393939,,,,,,,,2010,,2051.9250166666666
Central African Republic,,566.294475,633.0494583333333,,,,,,,,2011,,1894.0008333333335
Central African Republic,,563.1017666666667,603.2662375,,,,,,,,2012,,2222.8392
Central African Republic,,594.2208333333333,,,,,,,,,2013,,2369.4999916666666
Central African Republic,,660.0175,185.8,,,,,,,,2014,,3855.7666833333333
Central African Republic,,708.1916666666666,234.1304347826087,,,,,,,,2015,,3788.3333666666663
Central African Republic,,728.9925,561.5384615384615,,,,,,,,2016,,2780.0223710526316
Central African Republic,,679.5983333333334,420.76908396946567,,,,,,,,2017,,2371.6666651612904
Central African Republic,,708.919,454.1227783410138,,,,,,,,2018,,2796.9967531818183
Central African Republic,,,526.0155279503106,,,,,,,,2019,,2591.4156626506024
Egypt,,3.91278,3.91498,4.859640000000001,,3.90162,9.19754,,1.8508400000000003,12.4434,2010,,54.264779999999995
Egypt,,4.078241666666667,4.528416666666667,5.591183333333333,,2.9216916666666664,10.148983333333334,,2.534266666666667,8.197675,2011,,55.92988333333333
Egypt,,4.49,4.344545454545455,5.5566666666666675,,3.1491666666666664,10.59875,,2.4366666666666665,6.489166666666667,2012,,56.5
Egypt,,4.878916666666666,4.37875,5.4325,,2.985416666666667,11.494666666666667,,3.75975,11.379333333333333,2013,,57.785
Egypt,,4.338166666666667,4.169583333333333,5.6145,,3.0460833333333333,11.190416666666666,,3.484666666666667,13.443166666666668,2014,,61.2875
Egypt,,4.044545454545455,4.475454545454546,5.505454545454546,,4.240909090909091,12.886363636363637,,3.8681818181818177,11.008181818181818,2015,,64.7
Egypt,,4.248181818181819,6.292727272727273,8.443636363636363,,4.072727272727272,15.65,,5.954545454545454,14.274545454545455,2016,,
Egypt,,6.93,7.529166666666666,14.041666666666666,,5.895833333333333,21.566666666666663,,5.391666666666667,26.0,2017,,
Egypt,,7.050833333333333,9.6825,14.009166666666667,,5.9375,20.5,,7.020833333333333,16.464166666666667,2018,,
Egypt,,7.480833333333333,10.546666666666667,14.032499999999999,,6.058333333333334,19.125833333333333,,8.13,16.624166666666667,2019,,
Egypt,,6.640000000000001,9.785833333333334,13.985,,7.586666666666666,18.525833333333335,,8.7975,24.174166666666665,2020,,
Indonesia,,8016.25,10997.523328042327,16159.000200176368,,,,,,35385.042372972974,2016,,114700.4829174812
Indonesia,,8068.727272727273,11091.243264161849,14914.168651445088,,,,,,37487.37590123457,2017,,113403.77160314466
Indonesia,,8487.333333333334,11588.128145328721,15463.844549232294,,,,,,32231.790857178217,2020,,117415.57533964593
Indonesia,,7216.25,8016.357816666667,10856.333333333334,,,,,,,2010,,62894.25
Indonesia,,7235.5,9297.75,10816.25,,,,,,,2011,,65904.41666666667
Indonesia,,7372.25,10425.833333333334,11961.416666666666,,,,,,,2012,,72708.66666666667
Indonesia,,7441.75,10854.166666666666,12541.0,,,,,,,2013,,86962.75
Indonesia,,7780.833333333333,11461.25,11782.583333333334,,,,,,,2014,,93043.83333333333
Indonesia,,7895.916666666667,12764.583333333334,12595.75,,,,,,,2015,,98460.0
Indonesia,,8260.416666666666,14079.5,12392.583333333334,,,,,,,2018,,107236.58333333333
Indonesia,,8392.75,14048.5,12417.75,,,,,,,2019,,108382.83333333333
Iraq,,991.0009863905326,1689.6311639053254,1101.9260355029585,,848.7460556213018,2042.7470408284023,,821.9344183431953,,2017,,13036.143984615384
Iraq,,1000.6777775757575,1709.3191921212122,1089.89596,,891.4994858024692,1740.6702018181818,,791.5349790123456,,2018,,12533.58585818182
Iraq,,779.9842767295597,1693.946540880503,983.2285113207547,,951.2877358490566,1533.0267295597484,,862.9297691823899,,2019,,11984.276729559748
Iraq,,853.0780264150943,1642.555425,974.017295754717,,734.3498816037736,1593.0837259433963,,718.8091193396227,,2020,,11990.919810849058
Iraq,,481.48364049079754,1657.3674165644172,1366.132075471698,,,,,,,2012,,
Iraq,,471.94943820224717,1773.5898876404494,1380.3595505617977,,,,,,,2013,,
Iraq,,506.7130434782609,1878.1391304347826,1326.2695652173913,,,,,,,2014,,
Iraq,,906.343137254902,1928.8431372549019,1078.1078431372548,,,,,,,2015,,
Iraq,,1010.3826815642458,1980.6899441340781,1164.31843575419,,,,,,,2016,,
Lebanon,,,,,,,,,,,2012,,
Lebanon,,,,,,,,,,,2013,,
Lebanon,,,,,,,,,,,2014,,
Lebanon,,1273.1417371040725,,,,,,,,,2015,,
Lebanon,,1226.1422201058201,,,,,,,,,2016,,
Lebanon,,1528.7272727272727,,,,,,,,,2017,,
Lebanon,,1487.0341296928327,,,,,,,,,2018,,
Lebanon,,1492.579661016949,,,,,,,,,2019,,
Lebanon,,2285.7122302158273,,,,,,,,,2020,,
Nepal,,54.42424242424242,,,,96.98222222222222,,,,,2019,,
Nepal,,62.98769659863945,,,,87.1220010791367,,,,,2020,,
Nepal,,34.45151515151515,,,,,,,,,2010,,
Nepal,,35.99476923076923,,,,,,,,,2011,,
Nepal,,35.2775,,,,,,,,,2012,,
Nepal,,40.27461538461538,,,,,,,,,2013,,
Nepal,,43.75,,,,,,,,,2014,,
Nepal,,45.081746031746036,,,,,,,,,2015,,
Nepal,,46.40333333333333,,,,,,,,,2016,,
Nepal,,45.17272727272727,,,,,,,,,2017,,
Nepal,,43.957264957264954,,,,,,,,,2018,,
Turkey,,2.25535,4.7477,3.55415,,1.833025,3.452275,,,8.143075,2013,,
Turkey,,2.565081818181818,6.367854545454546,3.7837090909090914,,1.9368636363636362,4.467318181818182,,,8.758027272727274,2014,,
Turkey,,2.6725833333333333,6.426833333333334,3.8526666666666665,,1.9276666666666664,5.78625,,1.5385714285714285,10.94375,2015,,
Turkey,,2.848333333333333,6.047499999999999,4.175833333333333,,1.9141666666666666,6.9575,,1.0941666666666667,14.851666666666667,2016,,
Turkey,,3.1327179487179486,7.1647923076923075,4.277897435897436,,3.012379487179487,7.807253846153847,,1.6366871794871793,14.835771794871794,2017,,
Turkey,,3.4054979166666666,8.640443750000001,4.6554416666666665,,3.8977791666666666,6.684435416666666,,2.4423895833333336,13.02499375,2018,,
Turkey,,3.685916666666667,9.384564583333333,4.949027083333333,,4.399597916666667,6.587620833333333,,3.1001666666666665,25.99903958333333,2019,,
Turkey,,4.5460416666666665,10.96588125,5.8359375,,4.767358333333333,9.633691666666666,,5.378991666666667,37.101985416666665,2020,,
